충전소명,이용시간,충전기타입,주소,운영기관명,경도,위도,충전기ID,충전용량,시설_구분(대),시설_구분(소),시군구,데이터기준일자
(사)대한노인회 합천군지회,24시간 이용가능,DC콤보,경상남도 합천군 합천읍 교동1길33 (합천리 307-1),환경부(한국자동차환경협회),128.1649809,35.56514756,91,급속(100kW단독),근린생활시설,복지관,합천군 ,2024-03-14
S-oil 물금주유소,24시간 이용가능,DC차데모+AC3상+DC콤보,경상남도 양산시 물금읍 황산로501,환경부(한국자동차환경협회),128.9939901,35.31921069,01,급속(50kW),상업시설,주유소,양산시 ,2024-03-14
kbs창원방송총국,24시간 이용가능,DC콤보,경상남도 창원시 의창구 중앙대로 178(신월동 97-1),환경부(한국자동차환경협회),128.6860372,35.22916694,11,급속(200kW동시),공공시설,공공기관,창원시 ,2024-03-14
kbs창원방송총국,24시간 이용가능,DC콤보,경상남도 창원시 의창구 중앙대로 178(신월동 97-1),환경부(한국자동차환경협회),128.6860372,35.22916694,12,급속(200kW동시),공공시설,공공기관,창원시 ,2024-03-14
가례마을복지회관,24시간 이용가능,DC콤보,경상남도 의령군 가례면 가례리 320-1,환경부(한국자동차환경협회),128.2425211,35.32362983,01,급속(100kW단독),근린생활시설,복지관,의령군 ,2024-03-14
가야산국립공원사무소 주차장,24시간 이용가능,DC차데모+AC3상+DC콤보,경상남도 합천군 가야면 가야산로 1200,환경부(한국자동차환경협회),128.1322339,35.76768062,01,급속(100kW멀티),관광시설,공원,합천군 ,2024-03-14
가야시장 주차장,24시간 이용가능,DC콤보,경상남도 합천군 가야면 황산3길 11-2(황산리 282-1),환경부(한국자동차환경협회),128.1374313,35.76094163,01,급속(100kW단독),주차시설,공영주차장,합천군 ,2024-03-14
가야시장 주차장,24시간 이용가능,DC콤보,경상남도 합천군 가야면 황산3길 11-2(황산리 282-1),환경부(한국자동차환경협회),128.1374313,35.76094163,81,급속(300kW단독),주차시설,공영주차장,합천군 ,2024-03-14
가야읍사무소,24시간 이용가능,DC차데모+AC3상+DC콤보,경상남도 함안군 가야읍 함안대로 505(말산리 271-6),환경부(한국자동차환경협회),128.4082104,35.27199958,01,급속(50kW),공공시설,주민센터,함안군 ,2024-03-14
가야전통시장,24시간 이용가능,DC콤보,경상남도 함안군 가야읍 말산리113,환경부(한국자동차환경협회),128.4081567,35.27661504,01,급속(100kW단독),주차시설,공영주차장,함안군 ,2024-03-14
